time,LeftHipAngle,RightHipAngle
0.001,1.09,1.35
0.027,1.09,1.35
0.058,1.09,1.35
0.089,1.09,1.36
0.120,1.09,1.37
0.152,1.09,1.38
0.183,1.09,1.38
0.208,1.09,1.38
0.245,1.10,1.38
0.277,1.12,1.36
0.302,1.17,1.34
0.340,1.22,1.31
0.371,1.32,1.25
0.396,1.43,1.21
0.432,1.52,1.18
0.453,1.66,1.14
0.479,1.73,1.13
0.510,1.82,1.11
0.541,1.92,1.07
0.572,2.00,1.03
0.604,2.06,0.99
0.636,2.10,0.96
0.660,2.12,0.94
0.697,2.12,0.93
0.729,2.10,0.94
0.760,2.07,0.96
0.790,2.03,0.99
0.822,1.97,1.03
0.847,1.90,1.07
0.885,1.83,1.10
0.915,1.70,1.16
0.947,1.59,1.21
0.972,1.46,1.27
1.008,1.36,1.31
1.029,1.24,1.39
1.055,1.19,1.44
1.086,1.15,1.53
1.117,1.13,1.63
1.148,1.13,1.73
1.179,1.13,1.85
1.204,1.12,1.95
1.242,1.11,2.02
1.266,1.07,2.09
1.303,1.05,2.12
1.328,1.02,2.13
1.366,1.01,2.12
1.390,1.02,2.11
1.428,1.02,2.09
1.452,1.04,2.05
1.490,1.06,2.03
1.521,1.09,1.97
1.552,1.12,1.92
1.584,1.15,1.86
1.615,1.18,1.80
1.640,1.20,1.73
1.678,1.21,1.67
1.702,1.23,1.58
1.740,1.25,1.51
1.772,1.30,1.38
1.803,1.38,1.26
1.834,1.48,1.16
1.859,1.61,1.09
1.896,1.71,1.06
1.917,1.86,1.06
1.942,1.96,1.05
1.973,2.05,1.05
2.004,2.15,1.03
2.036,2.21,1.01
2.066,2.23,0.99
2.097,2.23,0.97
2.128,2.21,0.97
2.159,2.19,0.98
2.191,2.14,0.99
2.216,2.09,1.01
2.253,2.05,1.03
2.283,1.96,1.07
2.315,1.89,1.10
2.340,1.80,1.14
2.378,1.72,1.16
2.408,1.58,1.21
2.440,1.46,1.25
2.470,1.33,1.31
2.500,1.23,1.37
2.531,1.17,1.44
2.563,1.13,1.54
2.594,1.10,1.68
2.625,1.08,1.82
2.650,1.07,1.93
2.687,1.06,2.00
2.718,1.05,2.06
2.750,1.03,2.09
2.774,1.01,2.09
2.812,1.00,2.09
2.844,0.99,2.09
2.868,1.00,2.08
2.906,1.00,2.06
2.936,1.01,2.02
2.966,1.04,1.98
2.998,1.07,1.92
3.029,1.10,1.85
3.054,1.14,1.76
3.093,1.18,1.68
3.124,1.23,1.54
3.149,1.29,1.40
3.184,1.33,1.30
3.205,1.42,1.16
3.230,1.48,1.10
3.261,1.59,1.05
3.292,1.71,1.04
3.323,1.84,1.04
3.354,1.97,1.04
3.384,2.08,1.03
3.415,2.16,1.01
3.446,2.21,0.98
3.477,2.24,0.95
3.508,2.26,0.92
3.539,2.26,0.90
3.570,2.25,0.90
3.602,2.22,0.92
3.626,2.19,0.94
3.664,2.15,0.96
3.695,2.09,1.00
3.725,2.03,1.04
3.756,1.95,1.08
3.787,1.86,1.13
3.818,1.75,1.18
3.850,1.63,1.23
3.875,1.48,1.30
3.912,1.37,1.36
3.932,1.25,1.45
3.959,1.21,1.51
3.990,1.20,1.58
4.015,1.19,1.69
4.053,1.19,1.79
4.085,1.18,1.93
4.109,1.16,2.02
4.147,1.14,2.07
4.179,1.10,2.10
4.204,1.06,2.11
4.241,1.04,2.11
4.273,1.02,2.11
4.298,1.02,2.10
4.335,1.03,2.08
4.366,1.04,2.05
4.397,1.05,2.01
4.427,1.07,1.97
4.458,1.09,1.92
4.489,1.12,1.85
4.520,1.16,1.76
4.551,1.19,1.66
4.582,1.22,1.55
4.613,1.27,1.41
4.645,1.31,1.27
4.670,1.37,1.15
4.708,1.43,1.08
4.740,1.57,1.01
4.765,1.71,0.98
4.803,1.83,0.97
4.835,1.99,0.97
4.865,2.08,0.97
4.897,2.15,0.97
4.927,2.19,0.97
4.957,2.21,0.95
4.989,2.21,0.94
5.014,2.20,0.94
5.052,2.18,0.95
5.076,2.14,0.97
5.115,2.11,0.99
5.145,2.05,1.04
5.176,1.99,1.08
5.201,1.90,1.13
5.238,1.82,1.16
5.258,1.69,1.22
5.285,1.60,1.25
5.315,1.47,1.31
5.346,1.33,1.38
5.377,1.22,1.44
5.409,1.15,1.51
5.440,1.14,1.59
5.465,1.14,1.71
5.502,1.13,1.82
5.527,1.12,1.96
5.564,1.11,2.04
5.589,1.09,2.11
5.626,1.07,2.14
5.646,1.05,2.16
5.673,1.04,2.16
5.704,1.03,2.16
5.736,1.04,2.15
5.760,1.04,2.14
5.797,1.04,2.12
5.822,1.04,2.07
5.860,1.06,2.04
5.891,1.10,1.96
5.922,1.14,1.88
5.953,1.17,1.80
5.984,1.21,1.71
6.014,1.24,1.62
6.046,1.28,1.49
6.077,1.33,1.36
6.102,1.38,1.24
6.139,1.41,1.19
6.165,1.50,1.13
6.202,1.61,1.10
6.233,1.79,1.07
6.258,1.93,1.05
6.296,2.02,1.04
6.327,2.10,1.01
6.357,2.14,0.98
6.388,2.17,0.96
6.421,2.17,0.94
6.445,2.16,0.94
6.482,2.15,0.95
6.513,2.11,0.98
6.544,2.06,1.02
6.576,2.01,1.06
6.607,1.95,1.11
6.631,1.87,1.16
6.669,1.79,1.20
6.699,1.67,1.26
6.731,1.56,1.30
6.756,1.45,1.35
6.793,1.37,1.38
6.824,1.31,1.42
6.855,1.30,1.45
6.886,1.29,1.52
6.917,1.27,1.63
6.948,1.25,1.75
6.980,1.23,1.85
7.004,1.22,1.93
7.041,1.20,1.97
7.072,1.17,2.03
7.103,1.13,2.06
7.133,1.10,2.07
7.165,1.09,2.07
7.190,1.09,2.06
7.227,1.10,2.05
7.257,1.11,2.01
7.289,1.13,1.97
7.314,1.15,1.91
7.351,1.17,1.85
7.381,1.21,1.74
7.414,1.24,1.64
7.438,1.27,1.53
7.477,1.31,1.44
7.508,1.38,1.30
7.533,1.44,1.22
7.570,1.50,1.19
7.601,1.63,1.17
7.631,1.74,1.17
7.662,1.86,1.17
7.693,1.95,1.15
7.724,2.03,1.13
7.756,2.08,1.09
7.781,2.13,1.05
7.819,2.15,1.02
7.850,2.15,0.98
7.881,2.15,0.97
7.913,2.13,0.97
7.937,2.09,0.99
7.975,2.06,1.02
8.006,1.99,1.06
8.031,1.92,1.11
8.067,1.84,1.15
8.088,1.72,1.20
8.114,1.64,1.23
8.145,1.55,1.26
8.176,1.43,1.31
8.207,1.33,1.35
8.238,1.26,1.40
8.269,1.23,1.45
8.300,1.22,1.52
8.332,1.21,1.63
8.356,1.19,1.74
8.394,1.18,1.83
8.425,1.16,1.91
8.457,1.15,1.95
8.482,1.14,1.99
8.519,1.12,2.02
8.550,1.09,2.05
8.582,1.08,2.06
8.612,1.08,2.06
8.643,1.08,2.06
8.675,1.08,2.04
8.699,1.10,2.01
8.738,1.11,1.97
8.770,1.15,1.90
8.800,1.17,1.84
8.831,1.19,1.76
8.863,1.21,1.67
8.894,1.23,1.58
8.924,1.25,1.46
8.956,1.29,1.36
8.981,1.33,1.28
9.018,1.38,1.24
9.049,1.50,1.19
9.080,1.63,1.16
9.111,1.77,1.14
9.136,1.89,1.11
9.174,1.97,1.09
9.205,2.06,1.05
9.237,2.10,1.01
9.262,2.13,0.97
9.300,2.14,0.95
9.324,2.14,0.94
9.361,2.13,0.94
9.386,2.10,0.96
9.423,2.08,0.98
9.443,2.03,1.01
9.470,1.99,1.04
9.500,1.93,1.07
9.532,1.85,1.11
9.556,1.74,1.16
9.593,1.64,1.21
9.618,1.47,1.29
9.657,1.36,1.35
9.688,1.24,1.43
9.719,1.21,1.48
9.744,1.20,1.56
9.781,1.19,1.65
9.806,1.17,1.79
9.842,1.16,1.88
9.863,1.14,1.96
9.890,1.13,2.00
9.921,1.12,2.04
9.953,1.11,2.09
9.978,1.09,2.13
10.017,1.08,2.15
