time,LeftHipAngle,RightHipAngle
0.000,1.28,1.44
0.024,1.28,1.44
0.062,1.28,1.44
0.093,1.28,1.44
0.124,1.28,1.44
0.155,1.28,1.44
0.185,1.28,1.44
0.216,1.28,1.44
0.247,1.28,1.44
0.272,1.28,1.44
0.309,1.28,1.44
0.334,1.28,1.44
0.372,1.28,1.44
0.404,1.28,1.44
0.429,1.28,1.44
0.466,1.29,1.44
0.491,1.30,1.42
0.528,1.31,1.41
0.553,1.35,1.38
0.590,1.38,1.35
0.610,1.46,1.31
0.636,1.51,1.28
0.668,1.59,1.25
0.692,1.69,1.21
0.731,1.77,1.18
0.762,1.88,1.14
0.794,1.95,1.11
0.818,2.00,1.10
0.856,2.02,1.09
0.887,2.03,1.09
0.919,2.02,1.09
0.950,2.00,1.09
0.981,1.96,1.10
1.013,1.90,1.11
1.038,1.82,1.13
1.075,1.74,1.14
1.106,1.61,1.17
1.137,1.49,1.22
1.168,1.37,1.27
1.199,1.27,1.33
1.230,1.22,1.39
1.261,1.21,1.46
1.292,1.21,1.56
1.323,1.20,1.67
1.353,1.20,1.77
1.384,1.20,1.85
1.414,1.20,1.91
1.446,1.20,1.95
1.471,1.19,1.98
1.507,1.19,1.99
1.539,1.19,1.99
1.569,1.19,1.99
1.600,1.19,1.98
1.631,1.19,1.96
1.662,1.19,1.93
1.694,1.19,1.90
1.719,1.20,1.86
1.756,1.21,1.82
1.787,1.22,1.76
1.818,1.24,1.70
1.849,1.24,1.64
1.874,1.25,1.56
1.910,1.25,1.50
1.942,1.26,1.40
1.972,1.27,1.33
2.003,1.29,1.27
2.035,1.34,1.22
2.060,1.45,1.16
2.097,1.55,1.13
2.129,1.71,1.10
2.154,1.82,1.09
2.191,1.90,1.08
2.222,2.01,1.06
2.253,2.07,1.04
2.284,2.12,1.02
2.315,2.15,1.00
2.346,2.18,0.98
2.377,2.20,0.97
2.408,2.20,0.97
2.439,2.18,0.98
2.471,2.15,0.99
2.502,2.11,1.01
2.534,2.06,1.03
2.558,1.99,1.06
2.596,1.93,1.08
2.626,1.82,1.12
2.658,1.72,1.15
2.683,1.61,1.19
2.721,1.53,1.21
2.753,1.41,1.25
2.778,1.34,1.28
2.815,1.32,1.31
2.835,1.32,1.38
2.860,1.32,1.45
2.891,1.32,1.54
2.922,1.32,1.65
2.954,1.32,1.75
2.985,1.31,1.83
3.010,1.30,1.90
3.047,1.28,1.95
3.067,1.24,2.00
3.093,1.22,2.02
3.124,1.19,2.05
3.155,1.17,2.08
3.186,1.14,2.11
3.211,1.13,2.13
3.247,1.13,2.13
3.268,1.13,2.13
3.294,1.13,2.13
3.325,1.13,2.12
3.350,1.13,2.10
3.387,1.13,2.08
3.418,1.13,2.04
3.448,1.13,2.01
3.479,1.13,1.97
3.510,1.14,1.93
3.541,1.15,1.90
3.572,1.15,1.86
3.603,1.16,1.83
3.634,1.18,1.80
3.665,1.20,1.77
3.696,1.21,1.73
3.721,1.22,1.70
3.759,1.22,1.67
3.790,1.22,1.62
3.822,1.22,1.56
3.846,1.23,1.49
3.885,1.25,1.42
3.916,1.32,1.33
3.948,1.39,1.27
3.979,1.49,1.22
4.004,1.61,1.18
4.041,1.70,1.16
4.066,1.82,1.14
4.104,1.89,1.13
4.135,1.97,1.11
4.166,2.02,1.08
4.197,2.07,1.04
4.228,2.10,1.00
4.258,2.13,0.96
4.288,2.15,0.93
4.319,2.17,0.91
4.350,2.20,0.90
4.381,2.24,0.90
4.412,2.26,0.91
4.444,2.25,0.93
4.475,2.23,0.95
4.506,2.19,0.98
4.537,2.14,1.01
4.567,2.08,1.03
4.598,2.01,1.06
4.629,1.93,1.09
4.662,1.84,1.11
4.686,1.74,1.13
4.724,1.67,1.14
4.748,1.56,1.16
4.786,1.49,1.17
4.818,1.39,1.19
4.848,1.33,1.20
4.879,1.31,1.22
4.910,1.31,1.26
4.942,1.31,1.32
4.966,1.31,1.41
5.005,1.31,1.48
5.035,1.31,1.58
5.067,1.31,1.64
5.092,1.30,1.69
5.129,1.28,1.74
5.154,1.25,1.79
5.191,1.22,1.82
5.211,1.18,1.86
5.237,1.16,1.88
5.268,1.13,1.90
5.298,1.10,1.93
5.329,1.08,1.95
5.359,1.08,1.97
5.390,1.08,1.98
5.421,1.08,1.99
5.452,1.08,1.98
5.483,1.08,1.97
5.507,1.09,1.94
5.546,1.09,1.91
5.577,1.11,1.86
5.602,1.12,1.80
5.639,1.14,1.77
5.670,1.16,1.72
5.701,1.19,1.69
5.732,1.21,1.67
5.763,1.25,1.65
5.788,1.29,1.64
5.825,1.33,1.63
5.857,1.39,1.61
5.888,1.44,1.61
5.919,1.49,1.61
5.949,1.53,1.61
5.980,1.58,1.61
6.011,1.62,1.61
6.043,1.65,1.63
6.074,1.69,1.67
6.105,1.72,1.71
6.136,1.77,1.76
6.171,1.81,1.80
6.197,1.85,1.84
6.228,1.87,1.86
6.253,1.89,1.88
6.291,1.90,1.89
6.322,1.92,1.90
6.352,1.94,1.91
6.384,1.95,1.93
6.408,1.97,1.95
6.446,1.98,1.96
6.477,1.99,1.98
6.509,2.00,1.98
6.533,2.01,1.99
6.572,2.01,1.99
6.602,2.02,2.00
6.633,2.02,2.00
6.664,2.03,2.01
6.695,2.04,2.02
6.726,2.05,2.03
6.758,2.06,2.04
6.789,2.06,2.05
6.820,2.07,2.06
6.850,2.08,2.06
6.881,2.09,2.07
6.911,2.10,2.07
6.942,2.11,2.08
6.973,2.12,2.09
7.005,2.12,2.10
7.029,2.13,2.10
7.067,2.14,2.11
7.099,2.14,2.12
7.124,2.14,2.12
7.161,2.14,2.11
7.181,2.14,2.12
7.206,2.14,2.11
7.237,2.14,2.11
7.262,2.13,2.11
7.299,2.12,2.10
7.330,2.11,2.09
7.361,2.10,2.07
7.392,2.08,2.06
7.417,2.07,2.04
7.455,2.05,2.02
7.486,2.03,1.99
7.517,2.00,1.97
