time,LeftHipAngle,RightHipAngle
0.000,1.10,1.42
0.025,1.11,1.41
0.063,1.11,1.41
0.094,1.11,1.41
0.125,1.11,1.41
0.155,1.11,1.41
0.186,1.11,1.41
0.217,1.12,1.41
0.242,1.13,1.41
0.279,1.16,1.41
0.310,1.21,1.41
0.342,1.26,1.41
0.374,1.32,1.41
0.398,1.37,1.41
0.434,1.40,1.41
0.466,1.43,1.41
0.498,1.44,1.41
0.522,1.44,1.41
0.559,1.44,1.41
0.592,1.44,1.41
0.616,1.44,1.42
0.654,1.45,1.43
0.685,1.48,1.47
0.716,1.55,1.51
0.747,1.63,1.57
0.778,1.70,1.64
0.808,1.77,1.71
0.840,1.83,1.76
0.864,1.86,1.79
0.902,1.88,1.80
0.932,1.89,1.81
0.964,1.90,1.83
0.989,1.92,1.85
1.026,1.94,1.88
1.047,1.97,1.90
1.073,1.98,1.92
1.105,2.00,1.93
1.130,2.01,1.95
1.166,2.02,1.96
1.197,2.04,1.98
1.228,2.06,2.00
1.254,2.07,2.03
1.291,2.08,2.04
1.322,2.09,2.06
1.353,2.10,2.07
1.384,2.11,2.08
1.416,2.11,2.08
1.441,2.11,2.09
1.478,2.11,2.08
1.509,2.11,2.08
1.540,2.10,2.08
1.572,2.09,2.08
1.597,2.08,2.07
1.633,2.07,2.06
1.664,2.05,2.04
1.695,2.04,2.03
1.727,2.02,2.01
1.751,2.00,1.99
1.789,1.98,1.97
1.820,1.95,1.94
1.851,1.92,1.91
1.882,1.89,1.87
1.913,1.85,1.84
1.944,1.82,1.80
1.974,1.78,1.77
2.005,1.74,1.74
2.036,1.70,1.70
2.067,1.66,1.66
2.098,1.62,1.62
2.128,1.58,1.58
2.159,1.54,1.53
2.189,1.51,1.50
2.220,1.48,1.48
2.252,1.46,1.47
2.277,1.45,1.48
2.315,1.45,1.49
2.345,1.45,1.52
2.376,1.46,1.54
2.407,1.49,1.56
2.433,1.54,1.59
2.470,1.60,1.61
2.495,1.68,1.65
2.532,1.73,1.68
2.557,1.79,1.75
2.594,1.82,1.80
2.619,1.87,1.85
2.656,1.89,1.87
2.681,1.92,1.90
2.718,1.94,1.92
2.743,1.97,1.95
2.780,1.99,1.97
2.805,2.02,2.00
2.842,2.04,2.03
2.867,2.07,2.06
2.905,2.08,2.08
2.937,2.10,2.11
2.968,2.12,2.13
3.000,2.13,2.15
3.025,2.15,2.16
3.063,2.16,2.17
3.094,2.17,2.19
3.125,2.18,2.20
3.156,2.19,2.21
3.187,2.20,2.23
3.217,2.20,2.23
3.248,2.21,2.24
3.279,2.21,2.24
3.304,2.21,2.24
3.343,2.21,2.24
3.373,2.21,2.24
3.406,2.21,2.24
3.429,2.21,2.23
3.466,2.20,2.23
3.499,2.19,2.21
3.523,2.18,2.20
3.560,2.17,2.19
3.591,2.16,2.17
3.623,2.15,2.15
3.647,2.14,2.13
3.685,2.13,2.12
3.716,2.10,2.10
3.746,2.08,2.07
3.779,2.06,2.04
3.802,2.03,2.01
3.841,2.00,1.99
3.872,1.97,1.95
3.904,1.93,1.92
3.928,1.90,1.88
3.967,1.87,1.86
3.997,1.82,1.82
4.030,1.78,1.78
4.054,1.73,1.74
4.091,1.69,1.71
4.122,1.63,1.66
4.153,1.58,1.61
4.184,1.54,1.57
4.215,1.52,1.53
4.245,1.51,1.51
4.276,1.51,1.51
4.307,1.51,1.52
4.338,1.51,1.53
4.369,1.53,1.54
4.400,1.56,1.56
4.431,1.60,1.60
4.462,1.65,1.64
4.494,1.70,1.69
4.518,1.75,1.74
4.556,1.79,1.78
4.587,1.84,1.83
4.619,1.87,1.86
4.643,1.90,1.89
4.681,1.91,1.91
4.713,1.94,1.94
4.744,1.97,1.96
4.775,2.00,1.99
4.805,2.03,2.01
4.835,2.05,2.04
4.866,2.07,2.06
4.897,2.08,2.07
4.928,2.10,2.09
4.959,2.10,2.10
4.990,2.11,2.11
5.022,2.12,2.12
5.046,2.13,2.13
5.086,2.14,2.14
5.117,2.15,2.15
5.149,2.16,2.16
5.173,2.16,2.17
5.211,2.17,2.18
5.242,2.17,2.18
5.272,2.17,2.18
5.303,2.17,2.18
5.328,2.17,2.18
5.365,2.17,2.18
5.385,2.17,2.18
5.411,2.17,2.18
5.443,2.17,2.18
5.467,2.17,2.18
5.505,2.17,2.18
5.535,2.17,2.18
5.565,2.17,2.18
5.596,2.17,2.17
5.627,2.16,2.16
5.659,2.15,2.15
5.683,2.15,2.14
5.721,2.14,2.13
5.753,2.13,2.12
5.778,2.11,2.10
5.815,2.10,2.09
5.845,2.08,2.07
5.876,2.06,2.05
5.907,2.04,2.02
5.940,2.02,2.00
